Available_bike_stands,StationID,Hour,Weekday,past_available_bike_stands,Total_Available_bike_stands,Temp,Weather(Rain),Wind_Speed
9.0,2,1,5,9.3333,1274.3333,7.96,0,3.6
9.0,2,2,5,9.0,1284.6667,7.06,0,2.1
9.0,2,3,5,9.0,1299.6667,6.55,0,1.5
7.5,2,4,5,9.0,1241.0,6.96,0,3.6
9.0,2,5,5,7.5,1265.3333,6.88,0,2.1
11.1667,2,6,5,9.0,1192.8333,6.9,0,2.6
17.0,2,7,5,11.1667,1121.0,5.13,0,2.1
19.8333,2,8,5,17.0,903.6667,6.32,0,1.5
20.0,2,9,5,19.8333,1090.6667,8.75,0,1.0
19.8333,2,10,5,20.0,1138.3333,10.73,0,2.6
20.0,2,11,5,19.8333,1135.5,12.51,0,3.1
19.8333,2,12,5,20.0,1101.8333,13.93,0,2.1
19.1667,2,13,5,19.8333,1100.1667,12.96,0,2.6
18.5,2,14,5,19.1667,1181.5,12.35,1,2.6
18.3333,2,15,5,18.5,1181.3333,11.22,1,3.6
18.1667,2,16,5,18.3333,1100.3333,10.67,1,3.6
18.1667,2,17,5,18.1667,1035.8333,9.65,1,4.1
16.8333,2,18,5,18.1667,1174.1667,9.65,1,5.1
19.1667,2,19,5,16.8333,1214.0,9.67,1,4.6
16.3333,2,20,5,19.1667,1234.8333,9.65,1,1.0
15.5,2,21,5,16.3333,1267.8333,9.65,1,4.1
16.0,2,22,5,15.5,1273.0,9.65,1,3.6
12.8333,2,23,5,16.0,1265.6667,9.34,1,4.1
12.0,2,1,6,11.8333,1304.6667,8.64,0,4.1
12.0,2,2,6,12.0,1295.8333,7.99,1,6.7
12.0,2,3,6,12.0,1289.6667,7.02,1,4.1
10.0,2,4,6,12.0,1260.1667,5.93,0,4.6
12.0,2,5,6,10.0,1308.6667,5.63,0,4.6
14.6667,2,6,6,12.0,1276.6667,4.8,0,3.6
19.3333,2,7,6,14.6667,1269.1667,5.61,0,2.6
20.0,2,8,6,19.3333,1259.5,6.97,1,2.1
19.6667,2,9,6,20.0,1226.6667,8.46,1,2.1
19.8333,2,10,6,19.6667,1236.6667,8.51,1,5.1
20.0,2,11,6,19.8333,1220.5,10.43,1,6.7
17.3333,2,12,6,20.0,1232.5,10.88,1,8.7
18.5,2,13,6,17.3333,1239.1667,11.07,1,8.7
20.0,2,14,6,18.5,1237.6667,11.3,1,10.8
15.3333,2,15,6,20.0,1232.0,10.37,1,8.7
17.8333,2,16,6,15.3333,1238.1667,9.04,1,9.3
19.6667,2,17,6,17.8333,1212.8333,8.47,1,7.7
18.5,2,18,6,19.6667,1249.3333,7.51,1,8.7
16.5,2,19,6,18.5,1218.1667,7.4,1,7.7
19.3333,2,20,6,16.5,1271.0,6.9,1,6.7
16.3333,2,21,6,19.3333,1263.8333,6.48,1,7.2
19.6667,2,22,6,16.3333,1261.3333,6.28,1,8.2
17.6667,2,23,6,19.6667,1281.8333,6.06,1,5.7
17.0,2,1,7,17.0,1297.3333,5.95,1,6.7
17.0,2,2,7,17.0,1302.0,5.95,1,6.2
17.0,2,3,7,17.0,1311.3333,6.18,1,5.1
17.0,2,4,7,17.0,1260.8333,6.06,1,5.1
18.5,2,6,7,17.1667,1284.6667,6.06,1,5.1
18.5,2,6,7,17.1667,1284.6667,6.17,1,4.6
16.3333,2,7,7,18.5,1290.5,6.12,0,3.6
20.0,2,8,7,16.3333,1274.6667,5.88,0,3.6
20.0,2,9,7,20.0,1269.8333,6.01,1,3.1
10.3333,2,10,7,20.0,1236.1667,5.18,1,4.1
12.1667,2,11,7,10.3333,1260.5,4.43,1,1.0
14.1667,2,12,7,12.1667,1263.0,3.74,1,4.6
14.0,2,13,7,14.1667,1275.1667,2.75,1,5.1
14.1667,2,14,7,14.0,1258.8333,2.37,1,5.7
15.8333,2,15,7,14.1667,1272.1667,2.45,1,6.7
17.8333,2,16,7,15.8333,1279.5,1.68,1,7.7
12.1667,2,17,7,17.8333,1263.5,0.46,1,6.7
14.3333,2,18,7,12.1667,1278.1667,0.46,1,6.7
14.0,2,19,7,14.3333,1257.1667,0.75,1,7.7
14.0,2,20,7,14.0,1288.3333,1.18,1,6.2
13.1667,2,21,7,14.0,1281.0,1.4,1,6.7
15.0,2,22,7,13.1667,1292.3333,1.7,1,5.7
13.1667,2,23,7,15.0,1263.6667,1.4,1,5.7
13.0,2,1,1,13.0,1302.3333,1.52,1,4.6
13.0,2,2,1,13.0,1302.8333,1.53,1,5.1
13.0,2,3,1,13.0,1314.0,1.35,0,4.6
10.8333,2,4,1,13.0,1265.3333,1.36,1,4.1
13.0,2,5,1,10.8333,1278.8333,1.71,0,4.6
16.1667,2,6,1,13.0,1209.5,1.74,1,3.6
16.6667,2,7,1,16.1667,1131.1667,2.24,1,3.6
19.5,2,8,1,16.6667,969.1667,2.78,1,3.6
19.5,2,9,1,19.5,1122.5,3.31,1,3.1
13.8333,2,10,1,19.5,1189.0,4.22,1,4.6
13.0,2,11,1,13.8333,1192.3333,4.55,1,5.7
12.8333,2,12,1,13.0,1142.6667,4.31,1,6.2
13.3333,2,13,1,12.8333,1125.0,5.11,1,9.3
18.6667,2,15,1,16.8333,1199.8333,5.69,1,4.6
18.8333,2,16,1,18.6667,1142.1667,4.6,1,5.7
19.1667,2,17,1,18.8333,1019.5,4.04,0,4.6
15.5,2,18,1,19.1667,1072.8333,3.49,1,4.1
11.5,2,19,1,15.5,1165.5,3.77,0,3.6
12.5,2,20,1,11.5,1199.6667,4.15,1,5.1
10.0,2,21,1,12.5,1246.3333,3.92,1,5.1
6.3333,2,22,1,10.0,1270.8333,3.81,1,5.7
6.0,2,23,1,6.3333,1275.0,3.31,1,7.2
6.0,2,1,2,6.0,1270.5,3.72,1,6.2
6.0,2,2,2,6.0,1275.3333,4.38,0,6.7
6.0,2,3,2,6.0,1242.8333,4.9,1,7.2
5.0,2,4,2,6.0,1229.0,4.98,1,8.2
6.0,2,5,2,5.0,1282.5,5.0,1,8.2
9.8333,2,6,2,6.0,1236.3333,4.99,1,7.7
17.6667,2,7,2,9.8333,1118.0,5.28,1,7.2
19.6667,2,8,2,17.6667,876.3333,5.84,0,8.2
19.6667,2,9,2,19.6667,1063.5,7.03,1,9.3
20.0,2,10,2,19.6667,1136.5,7.97,0,8.2
16.3333,2,11,2,20.0,979.3333,9.51,1,8.7
19.8333,2,12,2,16.3333,1124.6667,10.0,0,7.2
18.8333,2,13,2,19.8333,1108.5,10.12,0,7.7
20.0,2,14,2,18.8333,1166.3333,9.88,1,6.7
16.1667,2,15,2,20.0,1212.1667,9.43,0,6.2
19.3333,2,17,2,18.6667,1018.3333,8.69,1,5.7
19.3333,2,17,2,18.6667,1018.3333,8.47,0,4.1
12.6667,2,18,2,19.3333,1105.1667,7.88,0,3.6
12.3333,2,19,2,12.6667,1201.6667,7.07,1,4.6
11.1667,2,20,2,12.3333,1262.6667,6.9,1,4.6
10.0,2,22,2,11.6667,1263.8333,6.99,1,6.7
10.6667,2,23,2,10.0,1233.3333,7.13,1,8.2
11.0,2,1,3,11.0,1275.6667,8.96,1,4.6
11.0,2,2,3,11.0,1285.0,9.67,1,5.1
11.0,2,3,3,11.0,1273.8333,9.78,1,4.6
9.1667,2,4,3,11.0,1231.1667,9.54,1,4.1
11.5,2,5,3,9.1667,1294.8333,9.52,0,5.1
19.1667,2,6,3,11.5,1228.6667,9.35,1,5.1
16.6667,2,7,3,19.1667,1117.6667,9.25,1,4.6
19.6667,2,8,3,16.6667,916.0,9.41,1,5.1
20.0,2,9,3,19.6667,1122.0,9.48,1,5.7
19.6667,2,10,3,20.0,1185.0,9.68,1,5.7
19.6667,2,11,3,19.6667,1180.8333,7.05,1,4.6
16.5,2,12,3,19.6667,1149.6667,6.55,1,4.6
18.6667,2,13,3,16.5,1138.0,6.03,1,7.7
19.1667,2,14,3,18.6667,1193.1667,5.84,1,7.2
15.8333,2,15,3,19.1667,1215.3333,6.87,0,9.3
17.0,2,16,3,15.8333,1119.8333,7.05,1,9.8
15.5,2,17,3,17.0,1014.8333,6.6,1,9.3
16.3333,2,18,3,15.5,1086.0,6.05,1,8.7
15.8333,2,19,3,16.3333,1154.1667,5.75,0,7.7
14.0,2,20,3,15.8333,1248.5,5.28,1,6.7
11.5,2,21,3,14.0,1239.8333,5.0,1,6.2
9.5,2,22,3,11.5,1256.5,5.0,0,6.2
7.8333,2,23,3,9.5,1279.3333,4.83,1,7.2
9.0,2,1,4,8.5,1300.1667,4.68,1,6.7
9.0,2,2,4,9.0,1310.6667,4.4,0,7.7
9.0,2,3,4,9.0,1299.5,4.39,1,6.7
9.0,2,4,4,9.0,1270.3333,4.4,0,7.7
10.0,2,5,4,9.0,1297.1667,4.58,0,9.3
17.0,2,6,4,10.0,1231.5,4.64,1,11.8
15.6667,2,7,4,17.0,1120.6667,4.99,0,11.3
16.5,2,8,4,15.6667,933.0,5.1,1,12.9
19.1667,2,9,4,16.5,1114.3333,5.56,1,13.4
17.0,2,10,4,19.1667,1189.3333,6.87,1,12.9
19.1667,2,11,4,17.0,1211.3333,6.95,1,12.3
19.5,2,12,4,19.1667,1152.3333,7.95,1,12.9
19.6667,2,13,4,19.5,1134.5,9.27,1,11.3
20.0,2,14,4,19.6667,1225.5,9.55,1,11.8
18.5,2,15,4,20.0,1208.5,8.65,1,9.3
18.6667,2,16,4,18.5,1128.5,7.94,1,9.8
18.8333,2,17,4,18.6667,1021.3333,7.12,1,9.3
18.3333,2,18,4,18.8333,1099.1667,6.33,1,6.2
18.3333,2,19,4,18.3333,1170.8333,5.12,0,5.1
14.1667,2,20,4,18.3333,1239.0,4.23,1,4.1
13.0,2,21,4,14.1667,1251.6667,3.92,0,5.1
7.3333,2,22,4,13.0,1262.0,3.78,0,4.6
5.1667,2,23,4,7.3333,1256.5,3.15,0,4.1
3.0,2,1,5,3.0,1286.3333,2.05,1,3.1
3.0,2,2,5,3.0,1281.1667,1.51,0,2.6
3.0,2,3,5,3.0,1275.3333,1.9,0,2.1
2.5,2,4,5,3.0,1205.3333,2.1,0,2.1
3.3333,2,5,5,2.5,1255.5,3.29,1,2.6
7.6667,2,6,5,3.3333,1192.6667,3.98,1,3.1
13.6667,2,7,5,7.6667,1112.1667,4.63,0,3.6
22.6667,2,8,5,13.6667,969.6667,5.88,0,3.6
16.6667,2,9,5,22.6667,1140.1667,5.89,1,4.6
20.0,2,10,5,16.6667,1207.0,6.26,1,5.1
23.0,2,11,5,20.0,1183.0,6.75,1,5.7
15.8333,2,12,5,23.0,1142.3333,7.75,1,6.2
19.3333,2,13,5,15.8333,1121.5,8.78,1,7.7
19.1667,2,14,5,19.3333,1175.3333,9.68,1,8.2
20.0,2,15,5,19.1667,1184.6667,10.04,1,4.6
19.6667,2,16,5,20.0,1115.5,10.22,1,5.1
16.1667,2,17,5,19.6667,1035.0,9.52,1,10.3
13.6667,2,18,5,16.1667,1134.5,8.18,0,7.2
11.8333,2,19,5,13.6667,1181.8333,7.43,1,5.7
2.1667,2,20,5,11.8333,1243.5,7.48,0,5.7
1.5,2,21,5,2.1667,1238.6667,7.13,1,7.2
3.1667,2,22,5,1.5,1266.3333,6.37,0,9.3
3.5,2,23,5,3.1667,1262.3333,6.06,0,5.1
1.0,2,1,6,1.6667,1303.8333,5.75,0,4.1
1.0,2,2,6,1.0,1296.5,6.4,0,5.7
1.0,2,3,6,1.0,1293.0,6.62,1,5.7
0.8333,2,4,6,1.0,1246.8333,6.75,0,8.2
1.0,2,5,6,0.8333,1310.8333,6.81,1,7.2
3.5,2,6,6,1.0,1292.0,5.95,1,6.2
7.6667,2,7,6,3.5,1276.8333,5.95,1,7.7
11.0,2,8,6,7.6667,1241.8333,6.29,1,9.8
